word,meaning,tags
come out,(새로운 모델이나 제품) 나오다,
when do you think ~ will come out?,언제 나올 것 같아?,
prefer A to B,B 보다 A 를 선호하다,
I’m honestly wondering the same thing.,난 같은 생각이야,
competitive,경쟁을 하는,형용사
for,~라는 점을 고려하면/~치고는,
a model that’s been around for a while,꽤 오랫동안 존재해 온 모델,
care about,~을 중요하게 여기다,
for a while,"꽤 오랫동안, 한 동안",
referent,"[수사학·언어] (단어의) 지시 대상(물), 관계항",명사
aim to do ~,~ 하려고 한다,
slash,"(날카로운 것으로 길게, 특히 폭력적으로) 긋다[베다] (=slit)",동사
precision,"정확(성), 정밀(성), 신중함 (=accuracy)",명사
misspelled,철자가 틀린,형용사
disposal,(무엇을 없애기 위한) 처리,명사
glossary,(특히 특정 텍스트에 나온) 용어 사전[해설 목록],명사
harmonize,"조화를 이루다, 어울리다",동사
replacement,"교체, 대체",명사
Lumena CEL 15/32bit Bitmap graphics file,(약어 CEL),
